bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,survey.date
C,36,A,1905,,,,,,9/24/25
C,36,B,buffer,,,,,,9/24/25
C,37,A,2381,,,,,,9/24/25
C,37,B,1289,17.5,5.7,2.5,0,,9/24/25
C,38,A,2009,6.4,6.6,6.4,0,,9/24/25
C,38,B,2230,9.1,7.3,6.7,1,,9/24/25
C,39,A,2487,6.1,3.5,3.5,0,,9/24/25
C,39,B,1866,7,6.2,4.5,0,,9/24/25
C,40,A,2069,7.7,6.2,5,1,,9/24/25
C,40,B,2621,,,,,,9/24/25
C,41,A,2493,3.5,3,2.2,0,,9/24/25
C,41,B,2574,6,4.8,4.8,1,,9/24/25
C,42,A,1747,15.9,5.7,5.2,0,,9/24/25
C,42,B,buffer,,,,,,9/24/25
C,43,A,73,NA,NA,NA,NA,dead,9/24/25
C,43,B,2522,2.9,3.1,2.7,1,,9/24/25
C,44,A,2558,5,3.9,3.9,1,,9/24/25
C,44,B,2169,8.4,6.7,5.5,1,,9/24/25
C,45,A,2165,24.6,5.8,5.2,0,,9/24/25
C,45,B,2328,9.6,4.5,6.4,1,,9/24/25
C,46,A,2408,3.7,3.6,3.6,1,,9/24/25
C,46,B,2392,36.8,4.4,3.3,2,,9/24/25
C,47,A,2154,10.2,5.2,4.6,1,,9/24/25
C,47,B,1933,,,,,,9/24/25
C,48,A,1893,,,,,,9/24/25
C,48,B,2411,,,,,,9/24/25
C,49,A,buffer,,,,,,9/24/25
C,49,B,2551,,,,,,9/24/25
C,50,A,1620,6.3,6.1,4.8,0,,9/24/25
C,50,B,404,51.5,12.7,12.4,0,,9/24/25
C,51,A,2579,9.3,5.3,4.4,0,,9/24/25
C,51,B,2361,7.7,8.5,6.3,0,,9/24/25
C,52,A,buffer,,,,,,9/24/25
C,52,B,buffer,,,,,,9/24/25
C,53,A,1990,,,,,,9/24/25
C,53,B,2286,11.4,5.4,5.1,1,,9/24/25
C,54,A,1795,14.3,4.7,2.6,0,,9/24/25
C,54,B,buffer,,,,,,9/24/25
C,55,A,2488,,,,,,9/24/25
C,55,B,2020,3.2,3.4,2.4,1,,9/24/25
C,56,A,1936,4.4,2.8,2.7,0,,9/24/25
C,56,B,2173,9.5,5.2,3,0,,9/24/25
C,57,A,2608,NA,NA,NA,NA,dead,9/24/25
C,57,B,2398,4.3,3.9,3.4,1,,9/24/25
C,58,A,395,,,,,,9/24/25
C,58,B,1916,,,,,,9/24/25
C,59,A,buffer,,,,,,9/24/25
C,59,B,buffer,,,,,,9/24/25
C,60,A,buffer,,,,,,9/24/25
C,60,B,buffer,,,,,,9/24/25
C,1,C,buffer,,,,,,9/24/25
C,1,D,buffer,,,,,,9/24/25
C,2,C,buffer,,,,,,9/24/25
C,2,D,buffer,,,,,,9/24/25
C,3,C,buffer,,,,,,9/24/25
C,3,D,buffer,,,,,,9/24/25
C,4,C,2127,,,,,,9/24/25
C,4,D,NA,,,,,,9/24/25
C,5,C,2228,7.2,7.6,4.7,1,,9/24/25
C,5,D,NA,,,,,rock here,9/24/25
C,6,C,2476,5,7.2,5.2,1,,9/24/25
C,6,D,2314,,,,,,9/24/25
C,7,C,2051,5.7,8.6,4.8,2,,9/24/25
C,7,D,2419,3.8,5.3,4.2,1,,9/24/25
C,8,C,1826,5.3,7.3,5.1,1,,9/24/25
C,8,D,1699,,,,,,9/24/25
C,9,C,2200,NA,NA,NA,NA,Dead,9/24/25
C,9,D,NA,,,,,rock here,9/24/25
C,10,C,2006,,,,,,9/24/25
C,10,D,NA,,,,,rock here,9/24/25
C,11,C,2563,,,,,,9/24/25
C,11,D,2170,20.7,7.5,6.6,2,,9/24/25
C,12,C,1621,10.1,6.6,5.3,1,,9/24/25
C,12,D,2258,7.5,5.6,5.1,2,,9/24/25
C,13,C,2619,,,,,,9/24/25
C,13,D,2041,5.1,7.2,5.9,2,,9/24/25
C,14,C,1950,,,,,dead at planting,9/24/25
C,14,D,1873,6.1,4.8,4.1,2,,9/24/25
C,15,C,1738,,,,,,9/24/25
C,15,D,2555,,,,,,9/24/25
C,16,C,2359,,,,,,9/24/25
C,16,D,2115,3.6,6.1,4.3,1,,9/24/25
C,17,C,1608,,,,,,9/24/25
C,17,D,2217,NA,NA,NA,NA,Dead,9/24/25
C,18,C,2402,5.8,4,2.7,2,,9/24/25
C,18,D,1931,,,,,,9/24/25
C,19,C,1861,NA,NA,NA,NA,Dead,9/24/25
C,19,D,2391,,,,,,9/24/25
C,20,C,2360,6.2,6.9,6.4,2,,9/24/25
C,20,D,2254,7.4,4.4,3.9,3,,9/24/25
C,21,C,2303,6.9,8.4,5.3,1,,9/24/25
C,21,D,2550,4.6,3.9,3,1,,9/24/25
C,22,C,2499,5.7,6.7,6.1,1,,9/24/25
C,22,D,2606,8.8,8.2,8.2,1,,9/24/25
C,23,C,2405,6.8,6.1,5.3,0,,9/24/25
C,23,D,737,NA,NA,NA,NA,Dead,9/24/25
C,24,C,2070,7.6,7.5,4.8,2,,9/24/25
C,24,D,1911,,,,,,9/24/25
C,25,C,1820,6.9,7.1,7,2,,9/24/25
C,25,D,1828,NA,NA,NA,NA,Dead,9/24/25
C,26,C,NA,,,,,,9/24/25
C,26,D,NA,,,,,,9/24/25
C,27,C,NA,,,,,,9/24/25
C,27,D,NA,,,,,,9/24/25
C,28,C,1932,3.4,5,4.9,1,,9/24/25
C,28,D,buffer,,,,,,9/24/25
C,29,C,711,NA,NA,NA,NA,Dead,9/24/25
C,29,D,2269,,,,,,9/24/25
C,30,C,2620,3.5,2.2,1.3,0,wilted,9/24/25
C,30,D,2646,26.5,10.3,7.4,1,,9/24/25
C,31,C,2420,4.8,5,4.8,1,,9/24/25
C,31,D,2096,8.6,10.4,7.3,1,,9/24/25
C,32,C,2580,NA,NA,NA,NA,Dead,9/24/25
C,32,D,2430,5.4,5.7,4.9,1,,9/24/25
C,33,C,2339,7.3,6.3,5.2,2,,9/24/25
C,33,D,2410,1.5,1.6,1.6,2,,9/24/25
C,34,C,2471,8.3,7,6.2,2,,9/24/25
C,34,D,2201,6.2,8.5,6.5,1,,9/24/25
C,35,C,2218,7.8,5.5,4.9,2,,9/24/25
C,35,D,2153,,,,,,9/24/25
C,36,C,buffer,,,,,,9/24/25
C,36,D,buffer,,,,,,9/24/25
C,37,C,2260,18.7,6.5,5.2,1,,9/24/25
C,37,D,714,,,,,,9/24/25
C,38,C,1982,5.3,4.1,2.9,1,,9/24/25
C,38,D,539,10.7,4.8,1.5,0,,9/24/25
C,39,C,2220,11.1,6.7,4.5,1,,9/24/25
C,39,D,1821,7.4,8.2,5.2,1,,9/24/25
C,40,C,1992,6.7,6,4.3,1,,9/24/25
C,40,D,2204,4.8,5,4.5,1,,9/24/25
C,41,C,2607,5.5,4.2,3.6,1,,9/24/25
C,41,D,2554,6.5,5.3,2.6,2,,9/24/25
C,42,C,2446,,,,,,9/24/25
C,42,D,2043,5.6,5.2,4.5,2,,9/24/25
C,43,C,1156,NA,NA,NA,NA,Dead,9/24/25
C,43,D,1048,28.3,3.8,3,0,,9/24/25
C,44,C,1252,NA,NA,NA,NA,Dead,9/24/25
C,44,D,1085,NA,NA,NA,NA,Dead,9/24/25
C,45,C,NA,,,,,,9/24/25
C,45,D,394,NA,NA,NA,NA,Dead,9/24/25
C,46,C,NA,,,,,,9/24/25
C,46,D,1766,32.5,9.3,6.4,1,,9/24/25
C,47,C,2255,NA,NA,NA,NA,Deal,9/24/25
C,47,D,1399,,,,,,9/24/25
C,48,C,89,NA,NA,NA,NA,Dead,9/24/25
C,48,D,1919,5.5,5.5,4.9,1,,9/24/25
C,49,C,2643,27.1,1.9,1.6,0,,9/24/25
C,49,D,2480,NA,NA,NA,NA,Dead,9/24/25
C,50,C,1794,21.3,5,4.2,1,,9/24/25
C,50,D,2097,4.2,5.8,5,1,,9/24/25
C,51,C,2397,NA,NA,NA,NA,Dead,9/24/25
C,51,D,1831,7.4,6.7,5.4,1,,9/24/25
C,52,C,2516,7.9,5.6,4.3,1,,9/24/25
C,52,D,1701,,,,,dead pre-planting,9/24/25
C,53,C,2311,5.2,5.2,4.8,1,,9/24/25
C,53,D,2640,12.6,4.1,3.6,0,,9/24/25
C,54,C,buffer,,,,,,9/24/25
C,54,D,buffer,,,,,,9/24/25
C,55,C,2423,,,,,,9/24/25
C,55,D,2519,7,5.4,4.5,1,,9/24/25
C,56,C,2450,,,,,,9/24/25
C,56,D,2559,6.6,5,3.8,1,,9/24/25
C,57,C,1798,,,,,,9/24/25
C,57,D,1835,5.1,3.6,3,1,,9/24/25
C,58,C,2031,10.8,5.6,4.6,1,,9/24/25
C,58,D,2457,4.7,4.1,3.9,1,,9/24/25
C,59,C,buffer,,,,,,9/24/25
C,59,D,buffer,,,,,,9/24/25
C,60,C,buffer,,,,,,9/24/25
C,60,D,buffer,,,,,,9/24/25
D,1,A,buffer,,,,,,9/24/25
D,1,B,buffer,,,,,,9/24/25
D,2,A,buffer,,,,,,9/24/25
D,2,B,buffer,,,,,,9/24/25
D,3,A,buffer,,,,,,9/24/25
D,3,B,buffer,,,,,,9/24/25
D,4,A,1993,7.3,6.8,5.9,2,,9/24/25
D,4,B,1704,,,,,,9/24/25
D,5,A,2483,5.2,2.8,2.2,1,,9/24/25
D,5,B,2239,,,,,,9/24/25
D,6,A,NA,,,,,,9/24/25
D,6,B,NA,,,,,,9/24/25
D,7,A,NA,,,,,,9/24/25
D,7,B,NA,,,,,,9/24/25
D,8,A,2075,,,,,,9/24/25
D,8,B,NA,,,,,,9/24/25
D,9,A,2155,5.8,3.6,1.4,2,,9/24/25
D,9,B,2320,8.1,6.9,5.4,1,,9/24/25
D,10,A,2278,11.1,2.9,2.6,1,,9/24/25
D,10,B,436,,,,,,9/24/25
D,11,A,2362,,,,,,9/24/25
D,11,B,1822,6.7,7.3,5,2,,9/24/25
D,12,A,NA,,,,,,9/24/25
D,12,B,304,13.4,5,1.7,0,,9/24/25
D,13,A,2470,,,,,,9/24/25
D,13,B,2209,9.2,5.6,5.1,1,,9/24/25
D,14,A,2417,4.5,4.7,4.4,1,,9/24/25
D,14,B,2205,6.7,7.8,4.8,1,,9/24/25
D,15,A,1790,,,,,,9/24/25
D,15,B,1107,19.5,7.2,4.8,0,,9/24/25
D,16,A,1995,7,3.8,2.4,1,,9/24/25
D,16,B,1961,3.1,3.3,3,1,,9/24/25
D,17,A,2240,8.8,5.3,4.8,1,,9/24/25
D,17,B,403,,,,,,9/24/25
D,18,A,2521,4.2,6.4,4.7,2,,9/24/25
D,18,B,2610,5.1,2.6,2.2,0,,9/24/25
D,19,A,2393,,,,,,9/24/25
D,19,B,141,,,,,,9/24/25
D,20,A,2532,9.5,8.6,4.4,1,,9/24/25
D,20,B,buffer,,,,,,9/24/25
D,21,A,2363,,,,,,9/24/25
D,21,B,2609,,,,,,9/24/25
D,22,A,2206,6.7,3.9,3.2,4,,9/24/25
D,22,B,2593,7.5,6.4,5.3,0,,9/24/25
D,23,A,1894,3.6,3.7,3.6,1,,9/24/25
D,23,B,2413,7,8.5,6.5,1,,9/24/25
D,24,A,2597,5.9,7.2,5.5,0,,9/24/25
D,24,B,2440,6.9,5.2,3.1,2,,9/24/25
D,25,A,2504,,,,,,9/24/25
D,25,B,2222,14.5,7.7,5.6,0,,9/24/25
D,26,A,2577,4.5,3.4,2.8,0,,9/24/25
D,26,B,1803,5.1,3.7,2.8,1,,9/24/25
D,27,A,1939,,,,,,9/24/25
D,27,B,2444,,,,,,9/24/25
D,28,A,1864,4.3,4,3.2,1,,9/24/25
D,28,B,2403,5.3,4.3,3.1,1,,9/24/25
D,29,A,2312,4.8,3.8,3.3,1,,9/24/25
D,29,B,1942,5.8,4.2,3.5,1,,9/24/25
D,30,A,103,,,,,,9/24/25
D,30,B,1760,27.5,10.2,4,1,,9/24/25
D,31,A,1967,4.4,4.4,4.1,1,,9/24/25
D,31,B,2569,6.7,5.3,5,1,,9/24/25
D,32,A,1968,7.9,6.4,5.5,1,,9/24/25
D,32,B,2633,10.1,4.2,3.7,0,,9/24/25
D,33,A,1280,,,,,,9/24/25
D,33,B,246,NA,NA,NA,NA,dead,9/24/25
D,34,A,2406,NA,NA,NA,NA,dead,9/24/25
D,34,B,2224,7.4,6.3,3.5,1,,9/24/25
D,35,A,buffer,,,,,,9/24/25
D,35,B,190,NA,NA,NA,NA,dead,9/24/25
D,36,A,2130,,,,,,9/24/25
D,36,B,2507,9.3,6.7,5,1,,9/24/25
D,37,A,1675,,,,,dead at planting,9/24/25
D,37,B,2364,,,,,dead pre-planting,9/24/25
D,38,A,1774,20.6,4.7,4.2,1,,9/24/25
D,38,B,2418,5.2,6.4,4.2,0,,9/24/25
D,39,A,2515,12.5,8.9,6.3,0,,9/24/25
D,39,B,1838,6.2,4.5,4.3,0,,9/24/25
D,40,A,2261,12.1,6.8,5.9,0,,9/24/25
D,40,B,2414,NA,NA,NA,NA,dead,9/24/25
D,41,A,2455,7.7,2.2,1.6,1,,9/24/25
D,41,B,1940,8.5,4.8,3.8,0,,9/24/25
D,42,A,2324,5.7,2.6,2.6,0,,9/24/25
D,42,B,1985,4.4,3.6,3.1,1,,9/24/25
D,43,A,895,,,,,,9/24/25
D,43,B,1804,8.4,5.8,3.9,0,,9/24/25
D,44,A,2207,5.4,6.4,4,0,,9/24/25
D,44,B,2596,4,2.6,2.1,0,,9/24/25
D,45,A,2241,12.5,3.9,3.9,0,,9/24/25
D,45,B,398,38.7,NA,NA,NA,no leaves,9/24/25
D,46,A,2583,4.3,6.5,4.4,0,,9/24/25
D,46,B,2238,,,,,,9/24/25
D,47,A,buffer,,,,,,9/24/25
D,47,B,1403,NA,NA,NA,NA,dead,9/24/25
D,48,A,2490,,,,,,9/24/25
D,48,B,1702,4.3,3.5,3.1,1,,9/24/25
D,49,A,2525,,,,,,9/24/25
D,49,B,1707,,,,,,9/24/25
D,50,A,buffer,,,,,,9/24/25
D,50,B,2625,,,,,,9/24/25
D,51,A,buffer,,,,,,9/24/25
D,51,B,1988,,,,,,9/24/25
D,52,A,522,,,,,,9/24/25
D,52,B,2463,,,,,,9/24/25
D,53,A,2395,,,,,,9/24/25
D,53,B,2212,,,,,,9/24/25
D,54,A,1876,,,,,,9/24/25
D,54,B,1849,,,,,,9/24/25
D,55,A,2573,,,,,,9/24/25
D,55,B,2425,,,,,,9/24/25
D,56,A,2544,,,,,,9/24/25
D,56,B,2492,,,,,,9/24/25
D,57,A,buffer,,,,,,9/24/25
D,57,B,1327,,,,,,9/24/25
D,58,A,buffer,,,,,,9/24/25
D,58,B,2131,,,,,,9/24/25
D,1,C,buffer,,,,,,9/24/25
D,1,D,buffer,,,,,,9/24/25
D,2,C,buffer,,,,,,9/24/25
D,2,D,buffer,,,,,,9/24/25
D,3,C,buffer,,,,,,9/24/25
D,3,D,buffer,,,,,,9/24/25
D,4,C,1901,6.4,3.3,2.6,1,,9/24/25
D,4,D,2221,,,,,,9/24/25
D,5,C,2292,4.5,8.6,5.4,1,,9/24/25
D,5,D,2121,4.4,4.9,4.6,1,,9/24/25
D,6,C,NA,,,,,,9/24/25
D,6,D,NA,,,,,,9/24/25
D,7,C,1751,8.8,5.5,4.8,1,,9/24/25
D,7,D,NA,,,,,,9/24/25
D,8,C,2538,6.8,7.7,5.2,1,,9/24/25
D,8,D,1856,,,,,,9/24/25
D,9,C,2622,3.8,3.3,2.6,2,,9/24/25
D,9,D,1768,25.7,6.9,6.5,1,,9/24/25
D,10,C,2412,4,1.7,1.4,0,,9/24/25
D,10,D,buffer,,,,,,9/24/25
D,11,C,1614,,,,,,9/24/25
D,11,D,buffer,,,,,,9/24/25
D,12,C,2257,11.5,9.7,6.7,1,,9/24/25
D,12,D,2578,,,,,,9/24/25
D,13,C,144,NA,NA,NA,NA,Dead,9/24/25
D,13,D,2576,5.5,6.7,6.5,1,,9/24/25
D,14,C,1976,,,,,,9/24/25
D,14,D,buffer,,,,,,9/24/25
D,15,C,2376,3.3,5.8,4.5,2,,9/24/25
D,15,D,1667,NA,NA,NA,NA,Dead,9/24/25
D,16,C,2343,9.3,7.3,5.2,1,,9/24/25
D,16,D,2539,3.9,2.6,2,1,,9/24/25
D,17,C,2644,,,,,,9/24/25
D,17,D,1791,NA,NA,NA,NA,Dead,9/24/25
D,18,C,2510,5.7,3.3,1.8,2,,9/24/25
D,18,D,2054,4,3.3,2.2,1,,9/24/25
D,19,C,1767,12.2,4.5,4,1,,9/24/25
D,19,D,1644,8.5,3.5,2.7,1,,9/24/25
D,20,C,buffer,,,,,,9/24/25
D,20,D,2399,3.2,4.2,2.3,0,,9/24/25
D,21,C,buffer,,,,,,9/24/25
D,21,D,1977,8.2,7.7,6.1,1,,9/24/25
D,22,C,53,NA,NA,NA,NA,Dead,9/24/25
D,22,D,buffer,,,,,,9/24/25
D,23,C,buffer,,,,,,9/24/25
D,23,D,815,NA,NA,NA,NA,Dend,9/24/25
D,24,C,2265,,,,,,9/24/25
D,24,D,2461,5,3.6,2.8,2,,9/24/25
D,25,C,2047,5.4,5,4.9,2,,9/24/25
D,25,D,2623,,,,,,9/24/25
D,26,C,1753,,,,,,9/24/25
D,26,D,1600,10.5,7.6,7.4,2,,9/24/25
D,27,C,1837,6,5.3,3.8,1,,9/24/25
D,27,D,2283,19.5,6.4,4.7,0,,9/24/25
D,28,C,2501,,,,,,9/24/25
D,28,D,2129,4.3,3.1,2.1,0,,9/24/25
D,29,C,1971,4.1,4.8,3,1,,9/24/25
D,29,D,2617,8,3.7,3.2,1,,9/24/25
D,30,C,1834,,,,,,9/24/25
D,30,D,2451,6.8,5.6,5.5,1,,9/24/25
D,31,C,2540,7.7,5.1,5,1,,9/24/25
D,31,D,2647,,,,,,9/24/25
D,32,C,2431,,,,,,9/24/25
D,32,D,2526,5.1,3,2.1,1,,9/24/25
D,33,C,2422,7.7,7,6.2,1,,9/24/25
D,33,D,2601,,,,,,9/24/25
D,34,C,1648,6.7,3.5,3,0,,9/24/25
D,34,D,2345,10.4,7.1,5.6,2,,9/24/25
D,35,C,204,,,,,,9/24/25
D,35,D,2479,NA,NA,NA,NA,Dead,9/24/25
D,36,C,NA,,,,,,9/24/25
D,36,D,2468,29.8,9.1,7.2,0,,9/24/25
D,37,C,2050,4.2,6.3,5.3,1,,9/24/25
D,37,D,1882,,,,,dead pre-planting,9/24/25
D,38,C,1997,,,,,,9/24/25
D,38,D,2055,5.4,5.3,5.2,1,,9/24/25
D,39,C,1862,3.6,3.7,3.1,1,,9/24/25
D,39,D,1430,NA,NA,NA,NA,Dead,9/24/25
D,40,C,2340,28,6,1.9,0,,9/24/25
D,40,D,1404,NA,NA,NA,NA,Dead,9/24/25
D,41,C,1913,7.3,7.1,6.9,1,,9/24/25
D,41,D,2484,8,6.4,6.1,1,,9/24/25
D,42,C,491,,,,,,9/24/25
D,42,D,76,NA,NA,NA,NA,Dead,9/24/25
D,43,C,363,NA,NA,NA,NA,Dead,9/24/25
D,43,D,2046,NA,NA,NA,NA,Dead,9/24/25
D,44,C,385,NA,NA,NA,NA,Dead,9/24/25
D,44,D,2531,7.1,4.1,2.7,1,,9/24/25
D,45,C,2624,,,,,,9/24/25
D,45,D,2543,5.8,4.1,3.2,0,,9/24/25
D,46,C,2277,12.3,4.5,4,0,,9/24/25
D,46,D,1972,NA,NA,NA,NA,Dead,9/24/25
D,47,C,1682,,,,,,9/24/25
D,47,D,2065,7.1,4.7,2.1,1,,9/24/25
D,48,C,1615,,,,,,9/24/25
D,48,D,2369,,,,,,9/24/25
D,49,C,2192,,,,,,9/24/25
D,49,D,2387,,,,,,9/24/25
D,50,C,2103,,,,,,9/24/25
D,50,D,2542,,,,,,9/24/25
D,51,C,2445,,,,,,9/24/25
D,51,D,1839,,,,,,9/24/25
D,52,C,2242,,,,,,9/24/25
D,52,D,1806,,,,,,9/24/25
D,53,C,2429,,,,,,9/24/25
D,53,D,2346,,,,,,9/24/25
D,54,C,2567,,,,,,9/24/25
D,54,D,936,,,,,,9/24/25
D,55,C,2235,,,,,,9/24/25
D,55,D,1796,,,,,,9/24/25
D,56,C,2166,,,,,,9/24/25
D,56,D,2485,,,,,,9/24/25
D,57,C,1970,,,,,,9/24/25
D,57,D,buffer,,,,,,9/24/25
D,58,C,buffer,,,,,,9/24/25
D,58,D,buffer,,,,,,9/24/25
D,59,C,buffer,,,,,,9/24/25
D,59,D,buffer,,,,,,9/24/25
E,1,B,buffer,,,,,only 2 buffers,9/24/25
E,2,A,buffer,,,,,only 2 buffers,9/24/25
E,2,B,buffer,,,,,,9/24/25
E,3,A,buffer,,,,,,9/24/25
E,3,B,buffer,,,,,,9/24/25
E,4,A,2225,,,,,,9/24/25
E,4,B,1998,,,,,,9/24/25
E,5,A,2475,,,,,,9/24/25
E,5,B,2641,,,,,,9/24/25
E,6,A,NA,,,,,,9/24/25
E,6,B,2061,,,,,,9/24/25
E,7,A,2266,,,,,,9/24/25
E,7,B,2534,,,,,,9/24/25
E,8,A,2282,,,,,,9/24/25
E,8,B,2028,,,,,,9/24/25
E,9,A,buffer,,,,,,9/24/25
E,9,B,2132,,,,,,9/24/25
E,10,A,399,,,,,,9/24/25
E,10,B,2374,,,,,,9/24/25
E,11,A,2088,,,,,,9/24/25
E,11,B,2518,,,,,,9/24/25
E,12,A,2079,,,,,,9/24/25
E,12,B,NA,,,,,rock here,9/24/25
E,13,A,2486,,,,,,9/24/25
E,13,B,NA,,,,,,9/24/25
E,14,A,2211,,,,,,9/24/25
E,14,B,2025,,,,,,9/24/25
E,15,A,2018,,,,,,9/24/25
E,15,B,1896,,,,,,9/24/25
E,16,A,1857,,,,,,9/24/25
E,16,B,2244,,,,,,9/24/25
E,1,C,buffer,,,,,only 2 buffers,9/24/25
E,1,D,buffer,,,,,only 2 buffers,9/24/25
E,2,C,buffer,,,,,,9/24/25
E,2,D,buffer,,,,,,9/24/25
E,3,C,buffer,,,,,,9/24/25
E,3,D,buffer,,,,,,9/24/25
E,4,C,1789,,,,,,9/24/25
E,4,D,2415,,,,,,9/24/25
E,5,C,NA,,,,,rock here,9/24/25
E,5,D,2432,,,,,,9/24/25
E,6,C,1656,,,,,,9/24/25
E,6,D,NA,,,,,unplantable,9/24/25
E,7,C,2582,,,,,,9/24/25
E,7,D,1406,,,,,,9/24/25
E,8,C,2541,,,,,,9/24/25
E,8,D,2366,,,,,,9/24/25
E,9,C,2636,,,,,stem broken pre-planting,9/24/25
E,9,D,2347,,,,,,9/24/25
E,10,C,1711,,,,,,9/24/25
E,10,D,2630,,,,,,9/24/25
E,11,C,2268,,,,,,9/24/25
E,11,D,2552,,,,,,9/24/25
E,12,C,NA,,,,,rock here,9/24/25
E,12,D,2007,,,,,,9/24/25
E,13,C,NA,,,,,rock here,9/24/25
E,13,D,1490,,,,,,9/24/25
E,14,C,2193,,,,,,9/24/25
E,14,D,2394,,,,,,9/24/25
E,15,C,2498,,,,,,9/24/25
E,15,D,NA,,,,,,9/24/25
E,16,C,2272,,,,,,9/24/25
E,17,A,1807,,,,,,9/24/25
E,17,B,1840,,,,,,9/24/25
E,18,A,2000,,,,,,9/24/25
E,18,B,372,,,,,,9/24/25
E,19,A,1605,,,,,,9/24/25
E,19,B,1975,,,,,,9/24/25
E,20,A,1684,,,,,dead pre-planting,9/24/25
E,20,B,2367,,,,,,9/24/25
E,21,A,2104,,,,,,9/24/25
E,21,B,2437,,,,,,9/24/25
E,22,A,2014,,,,,,9/24/25
E,22,B,buffer,,,,,,9/24/25
E,23,A,buffer,,,,,,9/24/25
E,23,B,2524,,,,,,9/24/25
E,24,A,2584,,,,,,9/24/25
E,24,B,2400,,,,,,9/24/25
E,25,A,2332,,,,,,9/24/25
E,25,B,1808,,,,,,9/24/25
E,26,A,1713,,,,,,9/24/25
E,26,B,NA,,,,,hole here,9/24/25
E,27,A,95,,,,,,9/24/25
E,27,B,1841,,,,,,9/24/25
E,28,A,1999,,,,,,9/24/25
E,28,B,2453,,,,,,9/24/25
E,29,A,2106,,,,,,9/24/25
E,29,B,2375,,,,,,9/24/25
E,30,A,NA,,,,,,9/24/25
E,30,B,NA,,,,,,9/24/25
