block ,bed ,row ,col ,unique.ID ,height.cm ,overhd.diam ,overhd.perp ,herbiv.y.n ,survey.notes 
NA ,A ,58,D ,YO7_7_13 ,,,,,8/13/24 some dehiscing 8/27 many dehisced fruits 
NA ,B ,22,A ,IH_3_5 ,49.3,42.2,35.1,N ,
NA ,B ,25,A ,IH_6_5 ,40.9,29.2,24.1,Y ,7/30 buds dying 8/20 tape 
NA ,B ,37,A ,TM2_1_16 ,,,,,TM2 fruiting from 2023 
NA ,B ,42,A ,BH_2_5 ,NA ,NA ,NA ,NA ,7/30 buds dying censused 
NA ,B ,43,A ,BH_5_5 ,NA ,NA ,NA ,NA ,censused 
NA ,B ,56,A ,SC_6_15 ,NA ,NA ,NA ,NA ,marked as budding without date / suse 8/20 many flowers dead and tape censused
NA ,B ,57,A ,IH_4_4 ,,,,,
NA ,B ,19,D ,CC_2_6 ,NA ,NA ,NA ,NA ,censused 6/25/24 some buds being eaten 
NA ,B ,26,C ,IH_5_5 ,,,,,
NA ,B ,28,C ,BH_4_5 ,NA ,NA ,NA ,NA ,censused 7/30 some buds dying 8/20 tape 
NA ,B ,36,D ,TM2_1_4 ,,,,,TM2 fruiting from 2023 
NA ,B ,43,D ,TM2_7_10 ,,,,,TM2 fruiting from 2023 
NA ,B ,45,C ,WL2_1_11 ,NA ,NA ,NA ,NA ,8/27 some fruits dehiscing censused 
NA ,B ,47,C ,YO7_4_6 ,NA ,NA ,NA ,NA ,8/27 many fruits dehiscing censused 
NA ,B ,56,C ,TM2_1_3 ,NA ,NA ,NA ,NA ,8/20 few buds left / dry flowers / tape censused 
NA ,B ,57,D ,BH_2_4 ,,,,,6/18/24 no tag 7/30 some buds dying 8/20 tape 
A ,C ,1,A ,buffer ,,,,,
A ,C ,1,B ,buffer ,,,,,
A ,C ,2,A ,buffer ,,,,,
A ,C ,2,B ,buffer ,,,,,
A ,C ,3,A ,buffer ,,,,,
A ,C ,3,B ,buffer ,,,,,
A ,C ,4,A ,280,,,,,6/25/24 wilting 
A ,C ,4,B ,949,,,,,7/9/24 wilting 
A ,C ,5,A ,540,,,,,6/18/24 wilting 
A ,C ,5,B ,317,5.2,2.9,1.6,Y ,
NA ,C ,6,A ,CC_1_6 ,,,,,7/2/24 dying 
A ,C ,6,B ,1175,,,,,7/16 red pick no date assumed 7/9 
A ,C ,7,A ,1091,,,,,
A ,C ,7,B ,968,,,,,6/25/24 wilting 
A ,C ,8,A ,333,,,,,
A ,C ,8,B ,374,,,,,6/25/24 wilting 
A ,C ,9,B ,521,,,,,
A ,C ,10,A ,392,,,,,7/2/24 dying 
A ,C ,10,B ,1160,,,,,6/25/24 wilting 
A ,C ,11,A ,479,,,,,6/18/24 wilting 
A ,C ,11,B ,264,,,,,6/25/24 wilting 
A ,C ,12,A ,199,,,,,6/18/24 wilting 
A ,C ,12,B ,1102,,,,,6/25/24 wilting 
A ,C ,13,A ,344,,,,,6/18/24 top of stem wilting 
A ,C ,13,B ,1511,,,,,
A ,C ,14,A ,98,,,,,
A ,C ,14,B ,868,,,,,
A ,C ,15,A ,125,,,,,6/25/24 wilting 
A ,C ,15,B ,1007,,,,,
A ,C ,16,A ,1119,,,,,
A ,C ,16,B ,189,,,,,
A ,C ,17,A ,71,,,,,7/9 wilted 
A ,C ,17,B ,507,,,,,6/25/24 wilting 
A ,C ,18,A ,1336,,,,,7/9 wilted 
A ,C ,18,B ,980,,,,,
A ,C ,19,A ,NA ,,,,,
A ,C ,19,B ,NA ,,,,,
B ,C ,20,A ,413,,,,,6/25/24 odd white lines on leaves 
B ,C ,20,B ,698,6.1,3.5,2.7,Y ,
B ,C ,21,A ,215,,,,,6/18/24 Powdery mildew 
B ,C ,21,B ,407,8.1,7.5,2.3,Y ,
B ,C ,22,A ,532,,,,,
NA ,C ,22,B ,BH_6_7 ,,,,,7/16 some fuits look sick 7/30 buds 8/13 flowers dead 8/20 tape censused 
B ,C ,23,A ,469,,,,,
B ,C ,23,B ,118,5.9,1.7,1.4,Y ,
B ,C ,24,A ,281,6.8,4.7,1.9,Y ,
B ,C ,24,B ,1459,5,3.5,2.4,Y ,
B ,C ,25,A ,1275,,,,,
B ,C ,25,B ,72,,,,,7/9 wilted 
B ,C ,26,A ,494,,,,,
B ,C ,26,B ,154,,,,,
B ,C ,27,A ,1398,,,,,
B ,C ,27,B ,200,4.2,3.7,2.4,Y ,7/23 heavily shaded by tree 
B ,C ,28,A ,480,,,,,Stem snapped still turgid 
B ,C ,28,B ,347,,,,,
B ,C ,29,A ,17,,,,,
B ,C ,29,B ,341,8.3,3.3,2.2,Y ,
B ,C ,30,A ,1228,6.9,4,3.4,Y ,
B ,C ,30,B ,513,6.2,1.4,1,Y ,9/24 lower stem exposed  9/3 very purple 
B ,C ,31,A ,939,7.2,2.4,2.2,Y ,
B ,C ,31,B ,543,,,,,6/25/24 wilting 
B ,C ,32,A ,1053,,,,,
B ,C ,32,B ,1279,,,,,
B ,C ,33,B ,183,3.6,2.5,1.9,Y ,8/27 shaded by tree 
B ,C ,34,A ,776,,,,,
B ,C ,34,B ,2,,,,,
B ,C ,35,A ,136,,,,,
B ,C ,35,B ,1348,,,,,
B ,C ,36,A ,NA ,,,,,
NA ,C ,36,B ,SC_2_19 ,,,,,7/16 some buds dying 8/20 branch snapped 
C ,C ,37,A ,145,,,,,
C ,C ,37,B ,1289,5.7,3.3,1,Y ,
C ,C ,38,A ,1362,,,,,
C ,C ,38,B ,128,,,,,7/16 red pick no date 
C ,C ,39,A ,1347,,,,,7/9 Very wilted 
C ,C ,39,B ,1003,,,,,
C ,C ,40,A ,1162,,,,,
NA ,C ,40,B ,BH_1_7 ,NA ,NA ,NA ,NA ,8/20 tape censused 
C ,C ,41,A ,738,,,,,7/9 very wilted 
C ,C ,41,B ,100,,,,,6/18/24 Wilting 
C ,C ,42,A ,1314,,,,,
C ,C ,42,B ,888,6.2,1.2,0.3,Y ,9/3 heavy herbivory 
C ,C ,43,A ,73,6.1,3.1,1.7,Y ,
C ,C ,43,B ,355,,,,,
C ,C ,44,A ,481,,,,,
C ,C ,44,B ,1229,,,,,
NA ,C ,45,A ,BH_7_7 ,NA ,NA ,NA ,NA ,7/16 one dead stem 8/6 reproductive stem broke 8/20 tape ceus used 
C ,C ,45,B ,1121,,,,,
C ,C ,46,A ,452,,,,,
C ,C ,46,B ,20,,,,,
C ,C ,47,A ,187,,,,,
NA ,C ,47,B ,IH_2_7 ,,,,,8/20 tape 8/27 branch Snopped 
C ,C ,48,A ,361,,,,,7/9 wilting 
C ,C ,48,B ,243,,,,,
C ,C ,49,A ,1187,8.2,1.5,0.6,N ,
C ,C ,49,B ,201,,,,,
C ,C ,50,A ,907,,,,,
C ,C ,50,B ,404,7.6,3.7,3.4,Y ,
C ,C ,51,A ,NA ,,,,,
C ,C ,51,B ,NA ,,,,,
D ,C ,52,A ,1409,3.6,2.1,1.9,Y ,
D ,C ,52,B ,74,6.4,0.9,0.8,N ,
D ,C ,53,A ,248,,,,,
NA ,C ,53,B ,IH_3_8 ,,,,,
D ,C ,54,A ,1255,NA ,NA ,NA ,NA ,9/24 dead 
NA ,C ,54,B ,TM2_1_14 ,,,,,TM2 Fruiting from 2023 / one seedling 
NA ,C ,55,A ,YO7_1_4 ,,,,,Dying buds 8/13/24 dehissed 
D ,C ,55,B ,1124,,,,,6/25/24 almost dead no leaves 
D ,C ,56,A ,739,,,,,
D ,C ,56,B ,1241,,,,,
D ,C ,57,A ,34,,,,,6/18/24 wilting 
D ,C ,57,B ,453,,,,,
D ,C ,58,A ,395,5.5,2.4,1.2,Y ,
D ,C ,58,B ,267,,,,,6/25/24 wilting 
D ,C ,59,A ,buffer ,,,,,
D ,C ,59,B ,buffer ,,,,,
D ,C ,60,A ,buffer ,,,,,
D ,C ,60,B ,buffer ,,,,,
A ,C ,1,C ,buffer ,,,,,
A ,C ,1,D ,buffer ,,,,,
A ,C ,2,C ,SC_5_6 ,NA ,NA ,NA ,NA ,mistakenly coded as buffer before 7/23 8/20 tape unsused 
A ,C ,2,D ,CC_9_6 ,NA ,NA ,NA ,NA ,mistakenly coded as buffer before 7/23 8 8/20 tape censused 
A ,C ,3,C ,buffer ,,,,,
A ,C ,3,D ,87,,,,,6/18/24 wilting 
A ,C ,4,C ,987,,,,,6/18/24 wilting 
A ,C ,4,D ,buffer ,,,,,not a buffer/actually a rock 
A ,C ,5,C ,666,,,,,6/18/24 wilting 
A ,C ,5,D ,NA ,,,,,7/9/24 wilted 
A ,C ,6,C ,1227,,,,,6/25/24 wilting 
A ,C ,6,D ,1185,,,,,6/18/24 wilting 
A ,C ,7,C ,1172,,,,,
A ,C ,7,D ,487,,,,,
A ,C ,8,C ,167,,,,,6/25/24 wilting 
A ,C ,8,D ,1127,NA ,NA ,NA ,NA ,Dead but already marked
A ,C ,9,C ,752,,,,,7/2 wilting 
A ,C ,9,D ,886,,,,,
A ,C ,10,C ,303,,,,,7/9 wilted 
NA ,C ,10,D ,BH_3_6 ,,,,,6/18/24 No tag/ 7/2 stem broken at base 
A ,C ,11,C ,763,,,,,6/25/24 wilting 
A ,C ,11,D ,1397,,,,,6/25/24 wilting 
A ,C ,12,C ,1286,,,,,6/25/24 wilting 
A ,C ,12,D ,1,,,,,
A ,C ,13,C ,736,,,,,7/9/24 wilting 
A ,C ,13,D ,1245,,,,,
A ,C ,14,C ,149,,,,,6/18/24 wilting 
A ,C ,14,D ,1423,,,,,7/9/24 wilting 
A ,C ,15,C ,41,,,,,6/25/24 wilting 
A ,C ,15,D ,560,,,,,
A ,C ,16,C ,130,,,,,
A ,C ,16,D ,932,,,,,6/18/24 wilting 
A ,C ,17,C ,371,,,,,
A ,C ,17,D ,600,,,,,
A ,C ,18,C ,NA ,,,,,
A ,C ,18,D ,NA ,,,,,
B ,C ,19,C ,309,,,,,7/16/24 wilting 
B ,C ,19,D ,298,,,,,6/18/24 dead at planting 
B ,C ,20,C ,790,,,,,Very wilted 
B ,C ,20,D ,1123,,,,,6/18/24 wilting 
B ,C ,21,C ,1311,,,,,7/2 wilting 
B ,C ,21,D ,1186,,,,,6/25/24 wilting 
B ,C ,22,C ,88,,,,,6/18/24 wilting 
B ,C ,22,D ,737,9.3,3.8,3.5,Y ,
B ,C ,23,C ,170,,,,,6/25/24 wilting 
NA ,C ,23,D ,TM2_4_12 ,,,,,Crispy flowers 8/20 tape 
B ,C ,24,C ,1243,,,,,7/9 wilted 
B ,C ,24,D ,99,,,,,
B ,C ,25,C ,364,,,,,7/23 wilted 
B ,C ,25,D ,1108,,,,,7/2 wilting 
B ,C ,28,C ,251,5.2,6,2.8,Y ,9/3 middle of main stem dead? 
B ,C ,28,D ,265,11.9,4.2,3.5,N ,
B ,C ,29,C ,711,5.2,3.5,2.1,Y ,
B ,C ,29,D ,393,,,,,7/9 wilted 
NA ,C ,30,C ,BH_4_7 ,NA ,NA ,NA ,NA ,Census 8/20 tape 8/27 Side veg brunch 
B ,C ,30,D ,961,NA ,NA ,NA ,NA ,Dead 9/3 leaves dead stem Still turgid 
B ,C ,31,C ,974,,,,,
B ,C ,31,D ,853,,,,,6/25/24 gone 
B ,C ,32,C ,859,,,,,
NA ,C ,32,D ,TM2_7_12 ,,,,,TM2 Fruiting from 2023 
NA ,C ,33,C ,TM2_2_5 ,,,,,TM2 Fruiting from 2023 
B ,C ,33,D ,832,,,,,
B ,C ,34,C ,564,,,,,
B ,C ,34,D ,990,,,,,wilted 7/16/24 
B ,C ,35,C ,NA ,,,,,
B ,C ,35,D ,NA ,,,,,
B ,C ,36,C ,NA ,,,,,
C ,C ,36,D ,214,,,,,6/25/24 roots exposed 
NA ,C ,37,C ,CC_2_7 ,NA ,NA ,NA ,NA ,8/20 tape census
C ,C ,37,D ,714,4.5,3.5,2.3,N ,
NA ,C ,38,C ,YO7_1_3 ,,,,,8/6 Fruit 2 vegetative branches drving 
C ,C ,38,D ,539,5.3,3.3,2.2,Y ,
C ,C ,39,C ,282,,,,,
C ,C ,39,D ,1098,,,,,7/23 wilted 
C ,C ,40,C ,489,,,,,7/16/24 wilted 
C ,C ,40,D ,126,,,,,
C ,C ,41,C ,266,,,,,
C ,C ,41,D ,989,,,,,
C ,C ,42,C ,174,,,,,
C ,C ,42,D ,553,,,,,6/18/24 Top Missing 
C ,C ,43,C ,1156,6.2,1.3,10,Y ,9/24 heavy herbivory
C ,C ,43,D ,1048,9,4.1,3.7,Y ,
C ,C ,44,C ,1252,4.2,2.9,1.7,Y ,
C ,C ,44,D ,1085,4.8,2.9,1.9,Y ,
C ,C ,45,C ,NA ,,,,,
C ,C ,45,D ,394,3.6,4.2,1.2,Y ,8/20 plant still alive remove death date heavy herbivory
C ,C ,46,C ,528,,,,,6/18/24 Plant Sunk 
C ,C ,46,D ,429,,,,,6/18/24 Plant sunk wilting / 6/25/24 gone 
C ,C ,47,C ,3,,,,,
C ,C ,47,D ,1399,2.3,2.2,1,Y ,
C ,C ,48,C ,89,3.2,2.8,1.2,Y ,
C ,C ,48,D ,946,,,,,6/25/24 wilting 
C ,C ,49,C ,37,,,,,
C ,C ,49,D ,518,,,,,
C ,C ,50,C ,NA ,,,,,
C ,C ,50,D ,NA ,,,,,
C ,C ,51,C ,NA ,,,,,
C ,C ,51,D ,754,,,,,7/9 wilted 
D ,C ,52,C ,1062,,,,,7/2 wilting 
NA ,C ,52,D ,TM2_7_13 ,,,,,TM2 Fruiting from 2023 / 1 seedling / last year's notes say C_53_D 
D ,C ,53,C ,4,,,,,6/25/24 wilted 
D ,C ,53,D ,1188,,,,,
D ,C ,54,C ,885,,,,,
D ,C ,54,D ,526,,,,,
D ,C ,55,C ,202,,,,,6/25/24 wilted 
D ,C ,55,D ,321,,,,,
D ,C ,56,C ,842,,,,,
D ,C ,56,D ,376,,,,,
D ,C ,57,C ,957,,,,,6/25/24 wilted 
D ,C ,57,D ,1148,,,,,6/25/24 wilted 
D ,C ,58,C ,21,,,,,
D ,C ,58,D ,176,,,,,6/25/24 very wilted 
D ,C ,59,C ,buffer ,,,,,
D ,C ,59,D ,buffer ,,,,,
D ,C ,60,C ,buffer ,,,,,
D ,C ,60,D ,buffer ,,,,,
D ,D ,1,A ,buffer ,,,,,
D ,D ,1,B ,buffer ,,,,,
D ,D ,2,A ,buffer ,,,,,
D ,D ,2,B ,buffer ,,,,,
D ,D ,3,A ,buffer ,,,,,
NA ,D ,3,B ,IH_5_9 ,15.5,11.4,4,Y ,7/23 mistakenly coded as buffer before 8/13 repro. stem broken 
D ,D ,4,A ,724,,,,,6/25/24 very wilted 
D ,D ,4,B ,906,,,,,6/25/24 wilting 
D ,D ,5,A ,1230,,,,,6/25/24 wilting 
D ,D ,6,B ,90,,,,,6/25/24 wilting 
D ,D ,8,A ,101,,,,,7/2 wilting 
D ,D ,9,A ,1350,,,,,6/25/24 wilted 
D ,D ,9,B ,937,,,,,
D ,D ,10,A ,283,,,,,7/9/24 wilted 
D ,D ,10,B ,436,10,5.9,4,Y ,
D ,D ,11,A ,113,,,,,8/6 Wilting 8/13 dead 
D ,D ,11,B ,546,,,,,6/25/24 wilted 
D ,D ,12,A ,NA ,,,,,
D ,D ,12,B ,NA ,,,,,
D ,D ,13,A ,NA ,,,,,
D ,D ,13,B ,304,7.5,4.6,3.6,Y ,
NA ,D ,14,A ,IH_7_9 ,,,,,
E ,D ,14,B ,5,,,,,6/25/24 wilted 
E ,D ,15,A ,119,,,,,
E ,D ,15,B ,91,,,,,
E ,D ,16,A ,268,,,,,
E ,D ,16,B ,1107,6,3.5,2.5,Y ,
NA ,D ,17,A ,CC_9_9 ,,,,,
E ,D ,17,B ,162,,,,,
E ,D ,18,A ,203,,,,,7/9 wilted 
E ,D ,18,B ,403,5.5,3.5,2.9,Y ,
NA ,D ,19,A ,TM2_7_18 ,30,17.5,12.4,Y ,
NA ,D ,19,B ,CC_4_9 ,,,,,stem broken 8/13 stem snapped and no leaves 8/20 harvest 
E ,D ,20,A ,988,,,,,
E ,D ,20,B ,141,3.3,1.6,0.6,Y ,
NA ,D ,21,A ,SC_5_9 ,,,,,7/16 Wilting 
E ,D ,21,B ,798,,,,,6/25/24 wilting 7/2 wilting 
E ,D ,22,A ,467,,,,,6/25/24 wilting 
E ,D ,22,B ,607,,,,,6/25/24 wilting 7/2 wilting 
E ,D ,23,A ,1231,,,,,6/25/24 snapped off 
E ,D ,23,B ,22,,,,,
E ,D ,24,A ,969,,,,,6/25/24 wilting 
NA ,D ,24,B ,IH_1_9 ,,,,,
E ,D ,25,A ,447,,,,,7/9/24 Ant hill Formed 
E ,D ,25,B ,358,,,,,7/9 wilted 
E ,D ,26,A ,950,,,,,6/25/24 wilting 
E ,D ,26,B ,148,,,,,7/9 wilted 
E ,D ,27,A ,1401,,,,,6/25/24 wilting 
E ,D ,27,B ,756,,,,,
E ,D ,28,A ,495,,,,,
E ,D ,28,B ,1244,,,,,6/25/24 wilting 7/2 wilting 
E ,D ,29,A ,75,,,,,7/2 wilting 
E ,D ,29,B ,315,,,,,
E ,D ,30,A ,NA ,,,,,
E ,D ,30,B ,NA ,,,,,
F ,D ,31,A ,103,10.6,4,2.2,Y ,
F ,D ,31,B ,813,,,,,6/25/24 wilting 
F ,D ,32,A ,92,,,,,
F ,D ,32,B ,538,,,,,
F ,D ,33,A ,269,,,,,
F ,D ,33,B ,741,,,,,7/2 wilting 
F ,D ,34,A ,1280,4.7,2.2,1.3,N ,
F ,D ,34,B ,246,7,4.5,4.4,N ,
F ,D ,35,A ,1101,10.6,4.1,3.4,Y ,
F ,D ,36,A ,503,15.7,4.4,3.9,N ,
F ,D ,36,B ,190,4.5,2.6,1.6,N ,
F ,D ,37,A ,1514,,,,,Dead at planting 
F ,D ,37,B ,531,,,,,6/25/24 wilted 
F ,D ,38,A ,713,,,,,7/9 wilted 
F ,D ,38,B ,6,,,,,6/25/24 roots exposed 
F ,D ,39,A ,350,,,,,8/27 Dying 
F ,D ,39,B ,484,10.5,1.9,0.9,Y ,9/24 wilted 
F ,D ,40,A ,1214,,,,,6/25/24 wilted 7/2 wilting 
NA ,D ,40,B ,BH_7_8 ,,,,,8/13/24 tape fruit 
F ,D ,41,A ,757,NA ,NA ,NA ,NA ,9/24 no plant or tag red pick 8/27 leaves dead stem turgid 
F ,D ,41,B ,559,,,,,7/23 wilted 
F ,D ,42,A ,1232,,,,,6/25/24 gone 
F ,D ,42,B ,897,,,,,7/2 wilted 
F ,D ,43,A ,1190,,,,,
F ,D ,43,B ,40,,,,,
F ,D ,44,A ,895,4.1,1.4,0.8,Y ,
F ,D ,44,B ,NA ,,,,,
G ,D ,45,A ,205,,,,,
G ,D ,45,B ,960,,,,,
G ,D ,46,A ,1023,,,,,
G ,D ,46,B ,398,9.5,3.5,3.1,Y ,
G ,D ,47,A ,NA ,,,,,
G ,D ,47,B ,157,,,,,6/25/24 wilting 
G ,D ,48,A ,485,9,1.8,1.3,Y ,
G ,D ,48,B ,1403,10.3,3,3,Y ,
G ,D ,49,A ,7,,,,,
G ,D ,49,B ,778,,,,,
G ,D ,50,A ,270,,,,,
G ,D ,50,B ,490,,,,,
G ,D ,51,A ,77,7,3.3,2,Y ,9/24 heavily buried by animal activity 
G ,D ,51,B ,632,NA ,NA ,NA ,NA ,7/23 heavily shaded/dead 
G ,D ,52,A ,299,4.7,1.1,1,N ,
G ,D ,52,B ,326,3.6,NA ,NA ,NA ,9/24 heavilly buried/ no leaves 
G ,D ,53,A ,522,8.6,3.4,2.1,N ,
G ,D ,53,B ,NA ,,,,,
G ,D ,54,A ,1117,,,,,
G ,D ,54,B ,1387,,,,,6/25/24 wilting 
G ,D ,55,A ,254,6.5,1.7,1.4,N ,9/3 dying 
G ,D ,55,B ,181,,,,,
G ,D ,56,A ,558,,,,,6/25/24 gone 
G ,D ,56,B ,NA ,,,,,
G ,D ,57,A ,1242,,,,,6/25/24 wilting 
G ,D ,57,B ,1344,,,,,Broken stem at planting 
G ,D ,58,A ,buffer ,,,,,
G ,D ,58,B ,1327,4.6,2.6,2.2,N ,Broken stem at planting 
G ,D ,59,A ,114,,,,,
G ,D ,59,B ,buffer ,,,,,
D ,D ,1,C ,buffer ,,,,,
D ,D ,1,D ,buffer ,,,,,
D ,D ,2,C ,buffer ,,,,,
D ,D ,2,D ,buffer ,,,,,
D ,D ,3,C ,buffer ,,,,,
D ,D ,3,D ,buffer ,,,,,
D ,D ,4,C ,488,,,,,6/25/24 wilted 
D ,D ,4,D ,504,,,,,7/2 wilted 
D ,D ,5,C ,772,,,,,7/2 wilted 
D ,D ,5,D ,165,,,,,
D ,D ,7,C ,213,,,,,7/2 wilted 
D ,D ,8,D ,345,,,,,6/25/24 wilted 7/2 wilted 
D ,D ,9,C ,1400,,,,,6/25/24 wilted 7/2 wilted 
D ,D ,9,D ,135,,,,,
D ,D ,10,C ,986,,,,,7/2/24 wilted 8/27/24 red pick no date 
D ,D ,10,D ,552,8.8,4.3,4,Y ,
D ,D ,11,C ,482,,,,,
D ,D ,11,D ,359,6.4,2.5,1.4,Y ,
D ,D ,12,C ,144,4.6,1.7,2,Y ,
D ,D ,12,D ,NA ,,,,,
D ,D ,13,C ,755,,,,,7/2 wilted 
E ,D ,13,D ,1159,,,,,
E ,D ,14,C ,934,,,,,7/2 wilting 
E ,D ,14,D ,180,,,,,6/25/24 wilted 
E ,D ,15,C ,324,,,,,7/2 wilting 
E ,D ,15,D ,102,,,,,
E ,D ,16,C ,1510,,,,,
E ,D ,16,D ,396,,,,,
E ,D ,17,C ,1176,,,,,7/2 wilting 
E ,D ,17,D ,1084,,,,,
E ,D ,18,C ,1281,,,,,
E ,D ,18,D ,548,,,,,
E ,D ,19,C ,578,,,,,
E ,D ,19,D ,1005,,,,,
E ,D ,20,C ,509,,,,,6/25/24 wilted 
E ,D ,20,D ,525,,,,,
E ,D ,21,C ,53,4,2.5,2.1,Y ,
E ,D ,21,D ,252,,,,,7/9/24 wilted 
E ,D ,22,C ,1345,,,,,6/25/24 roots exposed 
E ,D ,22,D ,815,3.9,2.5,1.8,Y ,
E ,D ,23,C ,338,,,,,
E ,D ,23,D ,704,,,,,6/25/24 roots exposed 
E ,D ,24,C ,348,,,,,7/9/24 wilted 8/27/24 red pick no date 
E ,D ,24,D ,301,,,,,
NA ,D ,25,C ,CC_2_9 ,,,,,6/25/24 stem snapped 
E ,D ,25,D ,882,,,,,7/9 wilted 
NA ,D ,26,C ,SC_8_15 ,NA ,NA ,NA ,NA ,8/20 tape 9/24 Already censused 
E ,D ,26,D ,911,,,,,7/2 wilting 
E ,D ,27,C ,562,,,,,
E ,D ,27,D ,1114,,,,,
E ,D ,28,C ,740,,,,,7/23 wilted 
E ,D ,28,D ,483,,,,,6/25/24 no leaves 
E ,D ,29,C ,NA ,,,,,
E ,D ,29,D ,NA ,,,,,
E ,D ,30,C ,1469,6.2,3.5,3,Y ,
E ,D ,30,D ,NA ,,,,,
F ,D ,31,C ,NA ,,,,,
F ,D ,31,D ,NA ,,,,,
F ,D ,32,C ,767,,,,,
F ,D ,32,D ,1402,,,,,
F ,D ,33,C ,150,,,,,7/2 wilting 
F ,D ,33,D ,129,,,,,
F ,D ,34,C ,879,,,,,6/25/24 wilted and uprooted 
F ,D ,34,D ,601,,,,,6/25/24 wilted 
F ,D ,35,C ,127,,,,,
F ,D ,35,D ,228,,,,,Dead at planting 
F ,D ,36,C ,204,3.4,2,1.5,Y ,
F ,D ,36,D ,640,,,,,6/25/24 roots exposed 7/2 wilting 
F ,D ,37,C ,1189,,,,,7/2 wilting 
F ,D ,37,D ,312,5.8,4,3.5,Y ,"9/24 missing tag, added new tag"
F ,D ,38,C ,1269,4.4,2.9,2.2,Y ,
F ,D ,38,D ,1339,,,,,6/25/24 wilted 
F ,D ,39,C ,397,,,,,
F ,D ,39,D ,253,,,,,
NA ,D ,40,C ,IH_5_8 ,,,,,6/25/24 wilting 
F ,D ,40,D ,1430,7.3,5.7,4,N ,
F ,D ,41,C ,1165,,,,,7/2 wilting 
F ,D ,41,D ,1404,6.5,4.2,3.4,N ,
F ,D ,42,C ,161,,,,,7/23 wilted 
F ,D ,42,D ,795,,,,,
F ,D ,43,C ,491,7.7,2.5,2,N ,
F ,D ,43,D ,76,1.8,3.2,1.9,Y ,
F ,D ,44,C ,363,5.3,NA ,NA ,NA ,9/24 very small leaves 
F ,D ,44,D ,297,,,,,
G ,D ,45,C ,385,8.5,NA ,NA ,NA ,9/24 No leaves 
G ,D ,45,D ,1233,,,,,
G ,D ,46,C ,542,,,,,Broken stem at planting 
G ,D ,46,D ,917,,,,,
G ,D ,47,C ,104,,,,,
G ,D ,47,D ,758,,,,,
G ,D ,48,C ,1211,,,,,
G ,D ,48,D ,133,,,,,
G ,D ,49,C ,212,,,,,6/25/24 wilting 
G ,D ,49,D ,1313,,,,,6/25/24 wilting 
G ,D ,50,C ,992,,,,,
G ,D ,50,D ,1154,,,,,
NA ,D ,51,C ,IH_1_8 ,NA ,NA ,NA ,NA ,8/20 tape /9/24 censused 
G ,D ,51,D ,175,,,,,
G ,D ,52,C ,1271,,,,,
G ,D ,52,D ,93,,,,,
